"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"3485",3,3,2,0,"week  3","no_prob","2",0,"US"
"3487",3,4,2,0,"week  3","prob_email","2",0,"US"
"34891",3,5,2,0,"week  3","prob_email","2",0,"US"
"34922",3,1,2,0,"week  3","no_email","2",0,"US"
"3494",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"34992",3,1,2,0,"week  3","no_email","2",0,"US"
"35062",3,5,2,0,"week  3","prob_email","2",0,"US"
"3507",3,3,2,0,"week  3","no_prob","2",0,"US"
"35091",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3512",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3515",3,1,2,0,"week  3","no_email","2",0,"US"
"3516",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"35181",3,3,2,0,"week  3","no_prob","2",0,"US"
"35261",3,2,2,0,"week  3","no_prob","2",0,"US"
"3530",3,5,2,0,"week  3","prob_email","2",0,"US"
"35311",3,3,2,0,"week  3","no_prob","2",0,"US"
"35332",3,4,2,0,"week  3","prob_email","2",0,"US"
"35342",3,4,2,0,"week  3","prob_email","2",0,"US"
"3536",3,1,2,0,"week  3","no_email","2",0,"US"
"3537",3,5,2,0,"week  3","prob_email","2",0,"US"
"35433",3,1,2,0,"week  3","no_email","2",0,"US"
"35442",3,5,2,0,"week  3","prob_email","2",0,"US"
"3545",3,2,2,0,"week  3","no_prob","2",0,"US"
"35503",3,4,2,0,"week  3","prob_email","2",0,"US"
"3551",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"35521",3,3,2,0,"week  3","no_prob","2",0,"US"
"3556",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"3558",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
